prices,obs,date,region
14404,113472,1993-09-01,South East
9773,113472,1993-09-01,North
11071,113472,1993-09-01,South West
6840,113472,1993-09-01,East Anglia
6753,113472,1993-09-01,East Midlands
12814,113472,1993-09-01,North West
11190,113472,1993-09-01,West Midlands
10151,113472,1993-09-01,Scotland
11338,113472,1993-09-01,London
7556,113472,1993-09-01,Yorkshire & Humber
3147,113472,1993-09-01,Northern Ireland
7191,113472,1993-09-01,Wales
11100,113796,1993-10-01,South West
6813,113796,1993-10-01,East Anglia
10236,113796,1993-10-01,Scotland
14431,113796,1993-10-01,South East
7565,113796,1993-10-01,Yorkshire & Humber
11210,113796,1993-10-01,West Midlands
11709,113796,1993-10-01,London
3141,113796,1993-10-01,Northern Ireland
12994,113796,1993-10-01,North West
9583,113796,1993-10-01,North
6759,113796,1993-10-01,East Midlands
7063,113796,1993-10-01,Wales
6851,113474,1993-11-01,East Anglia
10137,113474,1993-11-01,Scotland
14294,113474,1993-11-01,South East
7135,113474,1993-11-01,Wales
6832,113474,1993-11-01,East Midlands
7539,113474,1993-11-01,Yorkshire & Humber
9489,113474,1993-11-01,North
12904,113474,1993-11-01,North West
11669,113474,1993-11-01,London
11133,113474,1993-11-01,South West
3082,113474,1993-11-01,Northern Ireland
11197,113474,1993-11-01,West Midlands
9786,114457,1993-12-01,North
13118,114457,1993-12-01,North West
7770,114457,1993-12-01,Yorkshire & Humber
11251,114457,1993-12-01,London
3173,114457,1993-12-01,Northern Ireland
6879,114457,1993-12-01,East Anglia
7325,114457,1993-12-01,Wales
11191,114457,1993-12-01,South West
6882,114457,1993-12-01,East Midlands
14404,114457,1993-12-01,South East
11119,114457,1993-12-01,West Midlands
10270,114457,1993-12-01,Scotland
10890,113415,1994-01-01,West Midlands
10974,113415,1994-01-01,South West
13888,113415,1994-01-01,South East
11760,113415,1994-01-01,London
9782,113415,1994-01-01,North
6843,113415,1994-01-01,East Midlands
12962,113415,1994-01-01,North West
7654,113415,1994-01-01,Yorkshire & Humber
10216,113415,1994-01-01,Scotland
7295,113415,1994-01-01,Wales
6747,113415,1994-01-01,East Anglia
3113,113415,1994-01-01,Northern Ireland
11102,109226,1994-02-01,London
6665,109226,1994-02-01,East Midlands
7509,109226,1994-02-01,Yorkshire & Humber
6514,109226,1994-02-01,East Anglia
10459,109226,1994-02-01,Scotland
10570,109226,1994-02-01,South West
10803,109226,1994-02-01,West Midlands
6637,109226,1994-02-01,Wales
9495,109226,1994-02-01,North
2929,109226,1994-02-01,Northern Ireland
12613,109226,1994-02-01,North West
13930,109226,1994-02-01,South East
7419,109122,1994-03-01,Yorkshire & Humber
13684,109122,1994-03-01,South East
10321,109122,1994-03-01,Scotland
12318,109122,1994-03-01,North West
9307,109122,1994-03-01,North
6880,109122,1994-03-01,Wales
10396,109122,1994-03-01,South West
2857,109122,1994-03-01,Northern Ireland
10541,109122,1994-03-01,West Midlands
6488,109122,1994-03-01,East Anglia
6641,109122,1994-03-01,East Midlands
11008,109122,1994-03-01,London
11009,108186,1994-04-01,London
13727,108186,1994-04-01,South East
9182,108186,1994-04-01,North
10373,108186,1994-04-01,South West
6500,108186,1994-04-01,East Midlands
6727,108186,1994-04-01,Wales
2889,108186,1994-04-01,Northern Ireland
10316,108186,1994-04-01,Scotland
6459,108186,1994-04-01,East Anglia
12152,108186,1994-04-01,North West
10483,108186,1994-04-01,West Midlands
7294,108186,1994-04-01,Yorkshire & Humber
3278,119067,1994-05-01,Northern Ireland
10916,119067,1994-05-01,South West
7202,119067,1994-05-01,East Midlands
10150,119067,1994-05-01,North
14867,119067,1994-05-01,South East
13211,119067,1994-05-01,North West
11424,119067,1994-05-01,West Midlands
11034,119067,1994-05-01,Scotland
7092,119067,1994-05-01,East Anglia
9278,119067,1994-05-01,Yorkshire & Humber
12037,119067,1994-05-01,London
7202,119067,1994-05-01,Wales
13171,118695,1994-06-01,North West
7148,118695,1994-06-01,East Midlands
11120,118695,1994-06-01,Scotland
14826,118695,1994-06-01,South East
10141,118695,1994-06-01,North
6553,118695,1994-06-01,East Anglia
11242,118695,1994-06-01,South West
7156,118695,1994-06-01,Wales
11351,118695,1994-06-01,West Midlands
9486,118695,1994-06-01,Yorkshire & Humber
12034,118695,1994-06-01,London
3260,118695,1994-06-01,Northern Ireland
13208,120570,1994-07-01,North West
14783,120570,1994-07-01,South East
9494,120570,1994-07-01,Yorkshire & Humber
11477,120570,1994-07-01,West Midlands
12337,120570,1994-07-01,London
11365,120570,1994-07-01,South West
7207,120570,1994-07-01,East Midlands
7156,120570,1994-07-01,East Anglia
10292,120570,1994-07-01,North
11372,120570,1994-07-01,Scotland
3253,120570,1994-07-01,Northern Ireland
7385,120570,1994-07-01,Wales
13122,106634,1994-08-01,South East
10866,106634,1994-08-01,London
9010,106634,1994-08-01,North
2876,106634,1994-08-01,Northern Ireland
10152,106634,1994-08-01,West Midlands
11628,106634,1994-08-01,North West
6483,106634,1994-08-01,East Midlands
10109,106634,1994-08-01,Scotland
6371,106634,1994-08-01,East Anglia
10057,106634,1994-08-01,South West
6575,106634,1994-08-01,Wales
8276,106634,1994-08-01,Yorkshire & Humber
6601,116814,1994-09-01,East Midlands
9366,116814,1994-09-01,Yorkshire & Humber
6092,116814,1994-09-01,East Anglia
11168,116814,1994-09-01,South West
14528,116814,1994-09-01,South East
7402,116814,1994-09-01,Wales
10042,116814,1994-09-01,North
11149,116814,1994-09-01,West Midlands
12093,116814,1994-09-01,London
10700,116814,1994-09-01,Scotland
13192,116814,1994-09-01,North West
3188,116814,1994-09-01,Northern Ireland
7000,115660,1994-10-01,East Midlands
6926,115660,1994-10-01,Wales
14305,115660,1994-10-01,South East
10441,115660,1994-10-01,Scotland
9117,115660,1994-10-01,Yorkshire & Humber
10985,115660,1994-10-01,West Midlands
3190,115660,1994-10-01,Northern Ireland
13037,115660,1994-10-01,North West
11827,115660,1994-10-01,London
6973,115660,1994-10-01,East Anglia
10822,115660,1994-10-01,South West
9864,115660,1994-10-01,North
11841,117297,1994-11-01,London
11208,117297,1994-11-01,South West
7263,117297,1994-11-01,Wales
10030,117297,1994-11-01,North
7102,117297,1994-11-01,East Anglia
10991,117297,1994-11-01,West Midlands
11024,117297,1994-11-01,Scotland
13096,117297,1994-11-01,North West
3243,117297,1994-11-01,Northern Ireland
7020,117297,1994-11-01,East Midlands
14379,117297,1994-11-01,South East
8778,117297,1994-11-01,Yorkshire & Humber
9207,116315,1994-12-01,Yorkshire & Humber
7053,116315,1994-12-01,East Anglia
14138,116315,1994-12-01,South East
10451,116315,1994-12-01,West Midlands
11246,116315,1994-12-01,London
7079,116315,1994-12-01,East Midlands
7286,116315,1994-12-01,Wales
3220,116315,1994-12-01,Northern Ireland
13138,116315,1994-12-01,North West
11062,116315,1994-12-01,Scotland
11141,116315,1994-12-01,South West
10003,116315,1994-12-01,North
9136,115148,1995-01-01,Yorkshire & Humber
14029,115148,1995-01-01,South East
7212,115148,1995-01-01,Wales
6977,115148,1995-01-01,East Midlands
6935,115148,1995-01-01,East Anglia
10620,115148,1995-01-01,West Midlands
9816,115148,1995-01-01,North
11554,115148,1995-01-01,London
10700,115148,1995-01-01,South West
10893,115148,1995-01-01,Scotland
3111,115148,1995-01-01,Northern Ireland
12845,115148,1995-01-01,North West
3104,110133,1995-02-01,Northern Ireland
14751,110133,1995-02-01,South East
9309,110133,1995-02-01,Scotland
6881,110133,1995-02-01,East Midlands
6220,110133,1995-02-01,Wales
9321,110133,1995-02-01,Yorkshire & Humber
10844,110133,1995-02-01,South West
11473,110133,1995-02-01,London
8928,110133,1995-02-01,North
12205,110133,1995-02-01,North West
5772,110133,1995-02-01,East Anglia
10129,110133,1995-02-01,West Midlands
6326,113822,1995-03-01,Wales
12641,113822,1995-03-01,North West
3163,113822,1995-03-01,Northern Ireland
5967,113822,1995-03-01,East Anglia
10877,113822,1995-03-01,South West
10411,113822,1995-03-01,West Midlands
9895,113822,1995-03-01,Scotland
7187,113822,1995-03-01,East Midlands
12052,113822,1995-03-01,London
9146,113822,1995-03-01,North
9787,113822,1995-03-01,Yorkshire & Humber
15238,113822,1995-03-01,South East
11130,119189,1995-04-01,West Midlands
11528,119189,1995-04-01,South West
6233,119189,1995-04-01,East Anglia
9748,119189,1995-04-01,North
10338,119189,1995-04-01,Yorkshire & Humber
3386,119189,1995-04-01,Northern Ireland
13433,119189,1995-04-01,North West
6649,119189,1995-04-01,Wales
15567,119189,1995-04-01,South East
12472,119189,1995-04-01,London
10325,119189,1995-04-01,Scotland
7456,119189,1995-04-01,East Midlands
12695,121754,1995-05-01,London
6537,121754,1995-05-01,East Anglia
10417,121754,1995-05-01,Scotland
16298,121754,1995-05-01,South East
7681,121754,1995-05-01,East Midlands
10452,121754,1995-05-01,Yorkshire & Humber
6913,121754,1995-05-01,Wales
3507,121754,1995-05-01,Northern Ireland
9673,121754,1995-05-01,North
13403,121754,1995-05-01,North West
11525,121754,1995-05-01,West Midlands
11649,121754,1995-05-01,South West
7880,123384,1995-06-01,East Midlands
6740,123384,1995-06-01,East Anglia
9645,123384,1995-06-01,North
13416,123384,1995-06-01,North West
11765,123384,1995-06-01,South West
12863,123384,1995-06-01,London
10548,123384,1995-06-01,Yorkshire & Humber
16694,123384,1995-06-01,South East
10502,123384,1995-06-01,Scotland
11768,123384,1995-06-01,West Midlands
3505,123384,1995-06-01,Northern Ireland
6966,123384,1995-06-01,Wales
10545,123162,1995-07-01,Scotland
3335,123162,1995-07-01,Northern Ireland
12809,123162,1995-07-01,London
7806,123162,1995-07-01,East Midlands
11658,123162,1995-07-01,South West
11682,123162,1995-07-01,West Midlands
16690,123162,1995-07-01,South East
6979,123162,1995-07-01,Wales
9817,123162,1995-07-01,North
13444,123162,1995-07-01,North West
6716,123162,1995-07-01,East Anglia
10570,123162,1995-07-01,Yorkshire & Humber
16457,122786,1995-08-01,South East
11595,122786,1995-08-01,South West
10661,122786,1995-08-01,Scotland
6649,122786,1995-08-01,East Anglia
3494,122786,1995-08-01,Northern Ireland
6911,122786,1995-08-01,Wales
13471,122786,1995-08-01,North West
10632,122786,1995-08-01,Yorkshire & Humber
12577,122786,1995-08-01,London
11727,122786,1995-08-01,West Midlands
7908,122786,1995-08-01,East Midlands
9640,122786,1995-08-01,North
16534,123415,1995-09-01,South East
10679,123415,1995-09-01,Yorkshire & Humber
11614,123415,1995-09-01,South West
7936,123415,1995-09-01,East Midlands
12636,123415,1995-09-01,London
11737,123415,1995-09-01,West Midlands
13577,123415,1995-09-01,North West
9933,123415,1995-09-01,North
6933,123415,1995-09-01,Wales
10558,123415,1995-09-01,Scotland
6712,123415,1995-09-01,East Anglia
3515,123415,1995-09-01,Northern Ireland
7065,123492,1995-10-01,Wales
6752,123492,1995-10-01,East Anglia
12655,123492,1995-10-01,London
7976,123492,1995-10-01,East Midlands
11673,123492,1995-10-01,West Midlands
16496,123492,1995-10-01,South East
10004,123492,1995-10-01,North
10725,123492,1995-10-01,Yorkshire & Humber
13450,123492,1995-10-01,North West
3520,123492,1995-10-01,Northern Ireland
10414,123492,1995-10-01,Scotland
11677,123492,1995-10-01,South West
13682,124808,1995-11-01,North West
11711,124808,1995-11-01,West Midlands
8072,124808,1995-11-01,East Midlands
11755,124808,1995-11-01,South West
6789,124808,1995-11-01,East Anglia
10523,124808,1995-11-01,Scotland
10098,124808,1995-11-01,North
10925,124808,1995-11-01,Yorkshire & Humber
7068,124808,1995-11-01,Wales
16671,124808,1995-11-01,South East
12820,124808,1995-11-01,London
3582,124808,1995-11-01,Northern Ireland
7069,125879,1995-12-01,Wales
6806,125879,1995-12-01,East Anglia
11849,125879,1995-12-01,West Midlands
16733,125879,1995-12-01,South East
11829,125879,1995-12-01,South West
11021,125879,1995-12-01,Yorkshire & Humber
3631,125879,1995-12-01,Northern Ireland
8107,125879,1995-12-01,East Midlands
12930,125879,1995-12-01,London
10118,125879,1995-12-01,North
10773,125879,1995-12-01,Scotland
13886,125879,1995-12-01,North West
10840,135408,1996-01-01,North
12757,135408,1996-01-01,South West
18018,135408,1996-01-01,South East
12770,135408,1996-01-01,West Midlands
12067,135408,1996-01-01,Yorkshire & Humber
7396,135408,1996-01-01,East Anglia
13814,135408,1996-01-01,London
11471,135408,1996-01-01,Scotland
15024,135408,1996-01-01,North West
8653,135408,1996-01-01,East Midlands
7614,135408,1996-01-01,Wales
3856,135408,1996-01-01,Northern Ireland
6659,128879,1996-02-01,East Anglia
9615,128879,1996-02-01,East Midlands
22074,128879,1996-02-01,South East
11256,128879,1996-02-01,South West
7892,128879,1996-02-01,North
9920,128879,1996-02-01,Scotland
13711,128879,1996-02-01,London
11402,128879,1996-02-01,Yorkshire & Humber
3733,128879,1996-02-01,Northern Ireland
11137,128879,1996-02-01,West Midlands
6720,128879,1996-02-01,Wales
13688,128879,1996-02-01,North West
3682,130055,1996-03-01,Northern Ireland
11305,130055,1996-03-01,South West
7845,130055,1996-03-01,North
11346,130055,1996-03-01,West Midlands
9824,130055,1996-03-01,East Midlands
6763,130055,1996-03-01,Wales
13860,130055,1996-03-01,North West
11646,130055,1996-03-01,Yorkshire & Humber
22215,130055,1996-03-01,South East
6696,130055,1996-03-01,East Anglia
9942,130055,1996-03-01,Scotland
13850,130055,1996-03-01,London
11429,133400,1996-04-01,South West
10102,133400,1996-04-01,East Midlands
14249,133400,1996-04-01,London
7941,133400,1996-04-01,North
6849,133400,1996-04-01,East Anglia
11837,133400,1996-04-01,Yorkshire & Humber
11684,133400,1996-04-01,West Midlands
10138,133400,1996-04-01,Scotland
23004,133400,1996-04-01,South East
14165,133400,1996-04-01,North West
7045,133400,1996-04-01,Wales
3785,133400,1996-04-01,Northern Ireland
14602,137447,1996-05-01,North West
12210,137447,1996-05-01,West Midlands
7347,137447,1996-05-01,Wales
10318,137447,1996-05-01,East Midlands
11507,137447,1996-05-01,South West
11963,137447,1996-05-01,Yorkshire & Humber
10648,137447,1996-05-01,Scotland
3819,137447,1996-05-01,Northern Ireland
24015,137447,1996-05-01,South East
8103,137447,1996-05-01,North
14718,137447,1996-05-01,London
7013,137447,1996-05-01,East Anglia
12233,141075,1996-06-01,Yorkshire & Humber
11894,141075,1996-06-01,South West
12528,141075,1996-06-01,West Midlands
24873,141075,1996-06-01,South East
3960,141075,1996-06-01,Northern Ireland
11117,141075,1996-06-01,Scotland
10457,141075,1996-06-01,East Midlands
14989,141075,1996-06-01,North West
8212,141075,1996-06-01,North
15006,141075,1996-06-01,London
6980,141075,1996-06-01,East Anglia
7601,141075,1996-06-01,Wales
12630,141114,1996-07-01,West Midlands
11952,141114,1996-07-01,South West
10258,141114,1996-07-01,East Midlands
14938,141114,1996-07-01,London
24997,141114,1996-07-01,South East
7113,141114,1996-07-01,East Anglia
7578,141114,1996-07-01,Wales
11143,141114,1996-07-01,Scotland
3767,141114,1996-07-01,Northern Ireland
12223,141114,1996-07-01,Yorkshire & Humber
14981,141114,1996-07-01,North West
8317,141114,1996-07-01,North
5636,115650,1996-08-01,East Anglia
10015,115650,1996-08-01,Yorkshire & Humber
10314,115650,1996-08-01,West Midlands
3776,115650,1996-08-01,Northern Ireland
18812,115650,1996-08-01,South East
6831,115650,1996-08-01,Wales
9708,115650,1996-08-01,South West
10823,115650,1996-08-01,North West
13521,115650,1996-08-01,London
8845,115650,1996-08-01,East Midlands
6717,115650,1996-08-01,North
9531,115650,1996-08-01,Scotland
13443,115367,1996-09-01,London
10332,115367,1996-09-01,West Midlands
19095,115367,1996-09-01,South East
8891,115367,1996-09-01,East Midlands
5588,115367,1996-09-01,East Anglia
3713,115367,1996-09-01,Northern Ireland
10003,115367,1996-09-01,Yorkshire & Humber
9480,115367,1996-09-01,Scotland
10564,115367,1996-09-01,North West
9586,115367,1996-09-01,South West
6722,115367,1996-09-01,Wales
6834,115367,1996-09-01,North
9604,116066,1996-10-01,South West
3711,116066,1996-10-01,Northern Ireland
6776,116066,1996-10-01,North
6746,116066,1996-10-01,Wales
13625,116066,1996-10-01,London
10060,116066,1996-10-01,Yorkshire & Humber
10903,116066,1996-10-01,North West
19210,116066,1996-10-01,South East
9396,116066,1996-10-01,Scotland
8950,116066,1996-10-01,East Midlands
10453,116066,1996-10-01,West Midlands
5580,116066,1996-10-01,East Anglia
9600,115843,1996-11-01,South West
10819,115843,1996-11-01,North West
19157,115843,1996-11-01,South East
3849,115843,1996-11-01,Northern Ireland
9395,115843,1996-11-01,Scotland
13533,115843,1996-11-01,London
8983,115843,1996-11-01,East Midlands
10014,115843,1996-11-01,Yorkshire & Humber
10299,115843,1996-11-01,West Midlands
6752,115843,1996-11-01,Wales
6802,115843,1996-11-01,North
5525,115843,1996-11-01,East Anglia
19639,118682,1996-12-01,South East
3945,118682,1996-12-01,Northern Ireland
5663,118682,1996-12-01,East Anglia
13891,118682,1996-12-01,London
10483,118682,1996-12-01,West Midlands
6988,118682,1996-12-01,North
9249,118682,1996-12-01,East Midlands
9583,118682,1996-12-01,Scotland
10299,118682,1996-12-01,Yorkshire & Humber
6890,118682,1996-12-01,Wales
9843,118682,1996-12-01,South West
11081,118682,1996-12-01,North West
9525,115198,1997-01-01,South West
9556,115198,1997-01-01,Scotland
18992,115198,1997-01-01,South East
13317,115198,1997-01-01,London
10138,115198,1997-01-01,West Midlands
6792,115198,1997-01-01,North
3802,115198,1997-01-01,Northern Ireland
5377,115198,1997-01-01,East Anglia
8968,115198,1997-01-01,East Midlands
10241,115198,1997-01-01,Yorkshire & Humber
6721,115198,1997-01-01,Wales
10643,115198,1997-01-01,North West
9293,111216,1997-02-01,South West
11791,111216,1997-02-01,London
9977,111216,1997-02-01,North West
9003,111216,1997-02-01,Scotland
4505,111216,1997-02-01,Northern Ireland
5993,111216,1997-02-01,Wales
8509,111216,1997-02-01,East Midlands
5491,111216,1997-02-01,East Anglia
20056,111216,1997-02-01,South East
10006,111216,1997-02-01,West Midlands
9137,111216,1997-02-01,Yorkshire & Humber
6636,111216,1997-02-01,North
9151,110302,1997-03-01,South West
5299,110302,1997-03-01,East Anglia
19926,110302,1997-03-01,South East
11793,110302,1997-03-01,London
4559,110302,1997-03-01,Northern Ireland
9847,110302,1997-03-01,North West
8449,110302,1997-03-01,East Midlands
10069,110302,1997-03-01,West Midlands
8848,110302,1997-03-01,Scotland
5913,110302,1997-03-01,Wales
6574,110302,1997-03-01,North
9049,110302,1997-03-01,Yorkshire & Humber
9045,113726,1997-04-01,Scotland
9377,113726,1997-04-01,Yorkshire & Humber
20563,113726,1997-04-01,South East
6110,113726,1997-04-01,Wales
12128,113726,1997-04-01,London
5543,113726,1997-04-01,East Anglia
9293,113726,1997-04-01,South West
4632,113726,1997-04-01,Northern Ireland
8618,113726,1997-04-01,East Midlands
10452,113726,1997-04-01,West Midlands
6734,113726,1997-04-01,North
10332,113726,1997-04-01,North West
8793,116191,1997-05-01,East Midlands
9249,116191,1997-05-01,Scotland
9537,116191,1997-05-01,South West
12401,116191,1997-05-01,London
9686,116191,1997-05-01,Yorkshire & Humber
10603,116191,1997-05-01,West Midlands
21055,116191,1997-05-01,South East
4380,116191,1997-05-01,Northern Ireland
5711,116191,1997-05-01,East Anglia
6246,116191,1997-05-01,Wales
6928,116191,1997-05-01,North
10687,116191,1997-05-01,North West
5850,118238,1997-06-01,East Anglia
10759,118238,1997-06-01,West Midlands
10835,118238,1997-06-01,North West
7084,118238,1997-06-01,North
9771,118238,1997-06-01,South West
21546,118238,1997-06-01,South East
9965,118238,1997-06-01,Yorkshire & Humber
6376,118238,1997-06-01,Wales
8912,118238,1997-06-01,East Midlands
9370,118238,1997-06-01,Scotland
4288,118238,1997-06-01,Northern Ireland
12541,118238,1997-06-01,London
8862,117317,1997-07-01,East Midlands
5812,117317,1997-07-01,East Anglia
21536,117317,1997-07-01,South East
9839,117317,1997-07-01,Yorkshire & Humber
10618,117317,1997-07-01,West Midlands
12412,117317,1997-07-01,London
6233,117317,1997-07-01,Wales
9707,117317,1997-07-01,South West
10706,117317,1997-07-01,North West
9439,117317,1997-07-01,Scotland
4169,117317,1997-07-01,Northern Ireland
7017,117317,1997-07-01,North
5809,116676,1997-08-01,East Anglia
6175,116676,1997-08-01,Wales
8756,116676,1997-08-01,East Midlands
21450,116676,1997-08-01,South East
10574,116676,1997-08-01,North West
9355,116676,1997-08-01,Scotland
6933,116676,1997-08-01,North
12232,116676,1997-08-01,London
4483,116676,1997-08-01,Northern Ireland
9676,116676,1997-08-01,South West
10597,116676,1997-08-01,West Midlands
9721,116676,1997-08-01,Yorkshire & Humber
21678,117704,1997-09-01,South East
10651,117704,1997-09-01,West Midlands
5789,117704,1997-09-01,East Anglia
4542,117704,1997-09-01,Northern Ireland
8878,117704,1997-09-01,East Midlands
9716,117704,1997-09-01,South West
10673,117704,1997-09-01,North West
12375,117704,1997-09-01,London
6204,117704,1997-09-01,Wales
9440,117704,1997-09-01,Scotland
9805,117704,1997-09-01,Yorkshire & Humber
7028,117704,1997-09-01,North
10545,117099,1997-10-01,West Midlands
9646,117099,1997-10-01,South West
6211,117099,1997-10-01,Wales
5742,117099,1997-10-01,East Anglia
21642,117099,1997-10-01,South East
6990,117099,1997-10-01,North
8880,117099,1997-10-01,East Midlands
4552,117099,1997-10-01,Northern Ireland
12422,117099,1997-10-01,London
9281,117099,1997-10-01,Scotland
10541,117099,1997-10-01,North West
9712,117099,1997-10-01,Yorkshire & Humber
21671,117659,1997-11-01,South East
4551,117659,1997-11-01,Northern Ireland
8852,117659,1997-11-01,East Midlands
6994,117659,1997-11-01,North
9756,117659,1997-11-01,South West
5724,117659,1997-11-01,East Anglia
10672,117659,1997-11-01,North West
9794,117659,1997-11-01,Yorkshire & Humber
12514,117659,1997-11-01,London
10622,117659,1997-11-01,West Midlands
6224,117659,1997-11-01,Wales
9350,117659,1997-11-01,Scotland
9708,117241,1997-12-01,South West
5779,117241,1997-12-01,East Anglia
10673,117241,1997-12-01,North West
6141,117241,1997-12-01,Wales
21604,117241,1997-12-01,South East
6998,117241,1997-12-01,North
9717,117241,1997-12-01,Yorkshire & Humber
9391,117241,1997-12-01,Scotland
12501,117241,1997-12-01,London
10285,117241,1997-12-01,West Midlands
8891,117241,1997-12-01,East Midlands
4611,117241,1997-12-01,Northern Ireland
9535,115152,1998-01-01,Yorkshire & Humber
12111,115152,1998-01-01,London
5978,115152,1998-01-01,Wales
6861,115152,1998-01-01,North
9282,115152,1998-01-01,Scotland
5644,115152,1998-01-01,East Anglia
8630,115152,1998-01-01,East Midlands
9524,115152,1998-01-01,South West
21296,115152,1998-01-01,South East
4463,115152,1998-01-01,Northern Ireland
10362,115152,1998-01-01,West Midlands
10581,115152,1998-01-01,North West
9265,103493,1998-02-01,North West
8157,103493,1998-02-01,Scotland
9700,103493,1998-02-01,West Midlands
8500,103493,1998-02-01,South West
10849,103493,1998-02-01,London
5100,103493,1998-02-01,Wales
3781,103493,1998-02-01,Northern Ireland
8769,103493,1998-02-01,Yorkshire & Humber
7709,103493,1998-02-01,East Midlands
20160,103493,1998-02-01,South East
6123,103493,1998-02-01,North
4557,103493,1998-02-01,East Anglia
4840,105832,1998-03-01,East Anglia
20561,105832,1998-03-01,South East
7858,105832,1998-03-01,East Midlands
9924,105832,1998-03-01,West Midlands
8302,105832,1998-03-01,Scotland
3803,105832,1998-03-01,Northern Ireland
8889,105832,1998-03-01,Yorkshire & Humber
6237,105832,1998-03-01,North
9328,105832,1998-03-01,North West
8703,105832,1998-03-01,South West
11343,105832,1998-03-01,London
5281,105832,1998-03-01,Wales
9487,107681,1998-04-01,North West
3936,107681,1998-04-01,Northern Ireland
8446,107681,1998-04-01,Scotland
11470,107681,1998-04-01,London
7991,107681,1998-04-01,East Midlands
8808,107681,1998-04-01,South West
6446,107681,1998-04-01,North
9923,107681,1998-04-01,West Midlands
9026,107681,1998-04-01,Yorkshire & Humber
20859,107681,1998-04-01,South East
5008,107681,1998-04-01,East Anglia
5399,107681,1998-04-01,Wales
11761,109251,1998-05-01,London
9580,109251,1998-05-01,North West
3982,109251,1998-05-01,Northern Ireland
5019,109251,1998-05-01,East Anglia
8079,109251,1998-05-01,East Midlands
21264,109251,1998-05-01,South East
9103,109251,1998-05-01,Yorkshire & Humber
6491,109251,1998-05-01,North
10034,109251,1998-05-01,West Midlands
8960,109251,1998-05-01,South West
8630,109251,1998-05-01,Scotland
5430,109251,1998-05-01,Wales
8212,111444,1998-06-01,East Midlands
9239,111444,1998-06-01,Yorkshire & Humber
9186,111444,1998-06-01,South West
9923,111444,1998-06-01,North West
21687,111444,1998-06-01,South East
10280,111444,1998-06-01,West Midlands
3979,111444,1998-06-01,Northern Ireland
5082,111444,1998-06-01,East Anglia
5502,111444,1998-06-01,Wales
8882,111444,1998-06-01,Scotland
11893,111444,1998-06-01,London
6646,111444,1998-06-01,North
5451,109571,1998-07-01,Wales
6545,109571,1998-07-01,North
10195,109571,1998-07-01,West Midlands
9091,109571,1998-07-01,Yorkshire & Humber
3874,109571,1998-07-01,Northern Ireland
11716,109571,1998-07-01,London
21240,109571,1998-07-01,South East
8975,109571,1998-07-01,South West
5016,109571,1998-07-01,East Anglia
8650,109571,1998-07-01,Scotland
8111,109571,1998-07-01,East Midlands
9772,109571,1998-07-01,North West
9024,108215,1998-08-01,Yorkshire & Humber
21026,108215,1998-08-01,South East
5356,108215,1998-08-01,Wales
9697,108215,1998-08-01,North West
6478,108215,1998-08-01,North
10147,108215,1998-08-01,West Midlands
8664,108215,1998-08-01,Scotland
3333,108215,1998-08-01,Northern Ireland
11706,108215,1998-08-01,London
8085,108215,1998-08-01,East Midlands
8963,108215,1998-08-01,South West
5008,108215,1998-08-01,East Anglia
3889,109148,1998-09-01,Northern Ireland
11821,109148,1998-09-01,London
8089,109148,1998-09-01,East Midlands
8969,109148,1998-09-01,South West
20993,109148,1998-09-01,South East
9046,109148,1998-09-01,Yorkshire & Humber
5416,109148,1998-09-01,Wales
9835,109148,1998-09-01,North West
6541,109148,1998-09-01,North
10153,109148,1998-09-01,West Midlands
4975,109148,1998-09-01,East Anglia
8709,109148,1998-09-01,Scotland
9793,108530,1998-10-01,North West
20756,108530,1998-10-01,South East
6462,108530,1998-10-01,North
3936,108530,1998-10-01,Northern Ireland
7981,108530,1998-10-01,East Midlands
5015,108530,1998-10-01,East Anglia
8956,108530,1998-10-01,South West
8698,108530,1998-10-01,Scotland
10004,108530,1998-10-01,West Midlands
8946,108530,1998-10-01,Yorkshire & Humber
11720,108530,1998-10-01,London
5401,108530,1998-10-01,Wales
11876,110134,1998-11-01,London
5042,110134,1998-11-01,East Anglia
10077,110134,1998-11-01,West Midlands
8183,110134,1998-11-01,East Midlands
4011,110134,1998-11-01,Northern Ireland
21178,110134,1998-11-01,South East
5442,110134,1998-11-01,Wales
9031,110134,1998-11-01,Yorkshire & Humber
6603,110134,1998-11-01,North
8664,110134,1998-11-01,Scotland
9960,110134,1998-11-01,North West
9116,110134,1998-11-01,South West
9015,109954,1998-12-01,Yorkshire & Humber
4042,109954,1998-12-01,Northern Ireland
5436,109954,1998-12-01,Wales
9912,109954,1998-12-01,North West
8198,109954,1998-12-01,East Midlands
11755,109954,1998-12-01,London
8627,109954,1998-12-01,Scotland
9134,109954,1998-12-01,South West
21179,109954,1998-12-01,South East
10167,109954,1998-12-01,West Midlands
5102,109954,1998-12-01,East Anglia
6425,109954,1998-12-01,North
6380,76829,1999-01-01,South West
16007,76829,1999-01-01,South East
1081,76829,1999-01-01,Northern Ireland
6725,76829,1999-01-01,West Midlands
3377,76829,1999-01-01,East Anglia
4837,76829,1999-01-01,Wales
4094,76829,1999-01-01,North
6594,76829,1999-01-01,East Midlands
8089,76829,1999-01-01,London
6277,76829,1999-01-01,Yorkshire & Humber
5941,76829,1999-01-01,Scotland
6615,76829,1999-01-01,North West
